winnowing_point,candidate_code,candidate_name,party_code,vote_total,vote_pct,status,quota_threshold,accumulated_pool_size,first_choice_total,first_choice_pct
Initial_Slate,CON_1,CON_1,CON,6027.5401,20.25,surviving,0.0,29766.8987,,
Initial_Slate,LBR_1,LBR_1,LBR,3960.6183,13.31,surviving,0.0,29766.8987,,
Initial_Slate,NAT_1,NAT_1,NAT,3483.7611,11.7,surviving,0.0,29766.8987,,
Initial_Slate,LIB_1,LIB_1,LIB,3323.9095,11.17,surviving,0.0,29766.8987,,
Initial_Slate,POP_1,POP_1,POP,2458.1714,8.26,surviving,0.0,29766.8987,,
Initial_Slate,STY_1,STY_1,STY,2409.7948,8.1,surviving,0.0,29766.8987,,
Initial_Slate,CUP_1,CUP_1,CUP,2227.7267,7.48,surviving,0.0,29766.8987,,
Initial_Slate,PRG_1,PRG_1,PRG,2149.6284,7.22,surviving,0.0,29766.8987,,
Initial_Slate,OAO_1,OAO_1,OAO,1948.202,6.54,surviving,0.0,29766.8987,,
Initial_Slate,DSA_1,DSA_1,DSA,1777.5464,5.97,surviving,0.0,29766.8987,,
Initial_Slate,CON_2,CON_2,CON,0.0,0.0,surviving,0.0,29766.8987,,
Initial_Slate,CON_3,CON_3,CON,0.0,0.0,surviving,0.0,29766.8987,,
Initial_Slate,CUP_2,CUP_2,CUP,0.0,0.0,surviving,0.0,29766.8987,,
Initial_Slate,CUP_3,CUP_3,CUP,0.0,0.0,surviving,0.0,29766.8987,,
Initial_Slate,DSA_2,DSA_2,DSA,0.0,0.0,surviving,0.0,29766.8987,,
Initial_Slate,DSA_3,DSA_3,DSA,0.0,0.0,surviving,0.0,29766.8987,,
Initial_Slate,LBR_2,LBR_2,LBR,0.0,0.0,surviving,0.0,29766.8987,,
Initial_Slate,LBR_3,LBR_3,LBR,0.0,0.0,surviving,0.0,29766.8987,,
Initial_Slate,LIB_2,LIB_2,LIB,0.0,0.0,surviving,0.0,29766.8987,,
Initial_Slate,LIB_3,LIB_3,LIB,0.0,0.0,surviving,0.0,29766.8987,,
Initial_Slate,NAT_2,NAT_2,NAT,0.0,0.0,surviving,0.0,29766.8987,,
Initial_Slate,NAT_3,NAT_3,NAT,0.0,0.0,surviving,0.0,29766.8987,,
Initial_Slate,POP_2,POP_2,POP,0.0,0.0,surviving,0.0,29766.8987,,
Initial_Slate,POP_3,POP_3,POP,0.0,0.0,surviving,0.0,29766.8987,,
Initial_Slate,PRG_2,PRG_2,PRG,0.0,0.0,surviving,0.0,29766.8987,,
Initial_Slate,PRG_3,PRG_3,PRG,0.0,0.0,surviving,0.0,29766.8987,,
Initial_Slate,STY_2,STY_2,STY,0.0,0.0,surviving,0.0,29766.8987,,
Initial_Slate,STY_3,STY_3,STY,0.0,0.0,surviving,0.0,29766.8987,,
After_Retail,CON_1,CON_1,CON,109.2593,7.69,surviving,109.2593,1420.3707,283.017,19.93
After_Retail,CON_2,CON_2,CON,109.2593,7.69,surviving,109.2593,1420.3707,0.0,0.0
After_Retail,CON_3,CON_3,CON,0.0,0.0,eliminated_this_round,109.2593,1420.3707,0.0,0.0
After_Retail,CUP_1,CUP_1,CUP,109.2593,7.69,surviving,109.2593,1420.3707,104.7597,7.38
After_Retail,CUP_2,CUP_2,CUP,0.0,0.0,eliminated_this_round,109.2593,1420.3707,0.0,0.0
After_Retail,CUP_3,CUP_3,CUP,0.0,0.0,eliminated_this_round,109.2593,1420.3707,0.0,0.0
After_Retail,DSA_1,DSA_1,DSA,109.2593,7.69,surviving,109.2593,1420.3707,79.0544,5.57
After_Retail,DSA_2,DSA_2,DSA,0.0,0.0,eliminated_this_round,109.2593,1420.3707,0.0,0.0
After_Retail,DSA_3,DSA_3,DSA,0.0,0.0,eliminated_this_round,109.2593,1420.3707,0.0,0.0
After_Retail,LBR_1,LBR_1,LBR,109.2593,7.69,surviving,109.2593,1420.3707,219.9049,15.48
After_Retail,LBR_2,LBR_2,LBR,109.2593,7.69,surviving,109.2593,1420.3707,0.0,0.0
After_Retail,LBR_3,LBR_3,LBR,0.0,0.0,eliminated_this_round,109.2593,1420.3707,0.0,0.0
After_Retail,LIB_1,LIB_1,LIB,109.2593,7.69,surviving,109.2593,1420.3707,126.8726,8.93
After_Retail,LIB_2,LIB_2,LIB,0.0,0.0,eliminated_this_round,109.2593,1420.3707,0.0,0.0
After_Retail,LIB_3,LIB_3,LIB,0.0,0.0,eliminated_this_round,109.2593,1420.3707,0.0,0.0
After_Retail,NAT_1,NAT_1,NAT,109.2593,7.69,surviving,109.2593,1420.3707,162.544,11.44
After_Retail,NAT_2,NAT_2,NAT,0.0,0.0,eliminated_this_round,109.2593,1420.3707,0.0,0.0
After_Retail,NAT_3,NAT_3,NAT,0.0,0.0,eliminated_this_round,109.2593,1420.3707,0.0,0.0
After_Retail,OAO_1,OAO_1,OAO,109.2593,7.69,surviving,109.2593,1420.3707,121.8937,8.58
After_Retail,POP_1,POP_1,POP,109.2593,7.69,surviving,109.2593,1420.3707,107.7999,7.59
After_Retail,POP_2,POP_2,POP,0.0,0.0,eliminated_this_round,109.2593,1420.3707,0.0,0.0
After_Retail,POP_3,POP_3,POP,0.0,0.0,eliminated_this_round,109.2593,1420.3707,0.0,0.0
After_Retail,PRG_1,PRG_1,PRG,109.2593,7.69,surviving,109.2593,1420.3707,78.7747,5.55
After_Retail,PRG_2,PRG_2,PRG,0.0,0.0,eliminated_this_round,109.2593,1420.3707,0.0,0.0
After_Retail,PRG_3,PRG_3,PRG,0.0,0.0,eliminated_this_round,109.2593,1420.3707,0.0,0.0
After_Retail,STY_1,STY_1,STY,109.2593,7.69,surviving,109.2593,1420.3707,135.7498,9.56
After_Retail,STY_2,STY_2,STY,0.0,0.0,eliminated_this_round,109.2593,1420.3707,0.0,0.0
After_Retail,STY_3,STY_3,STY,0.0,0.0,eliminated_this_round,109.2593,1420.3707,0.0,0.0
After_Pod_A,CON_1,CON_1,CON,780.1311,10.0,surviving,780.1311,7801.311,1544.7164,19.8
After_Pod_A,CON_2,CON_2,CON,780.1311,10.0,surviving,780.1311,7801.311,0.0,0.0
After_Pod_A,CUP_1,CUP_1,CUP,780.1311,10.0,surviving,780.1311,7801.311,641.4543,8.22
After_Pod_A,DSA_1,DSA_1,DSA,0.0,0.0,eliminated_this_round,780.1311,7801.311,494.0759,6.33
After_Pod_A,LBR_1,LBR_1,LBR,780.1311,10.0,surviving,780.1311,7801.311,1131.942,14.51
After_Pod_A,LBR_2,LBR_2,LBR,0.0,0.0,eliminated_this_round,780.1311,7801.311,0.0,0.0
After_Pod_A,LIB_1,LIB_1,LIB,780.1311,10.0,surviving,780.1311,7801.311,837.7239,10.74
After_Pod_A,NAT_1,NAT_1,NAT,780.1311,10.0,surviving,780.1311,7801.311,815.0464,10.45
After_Pod_A,OAO_1,OAO_1,OAO,780.1311,10.0,surviving,780.1311,7801.311,544.9451,6.99
After_Pod_A,POP_1,POP_1,POP,780.1311,10.0,surviving,780.1311,7801.311,589.6751,7.56
After_Pod_A,PRG_1,PRG_1,PRG,0.0,0.0,eliminated_this_round,780.1311,7801.311,542.4688,6.95
After_Pod_A,STY_1,STY_1,STY,780.1311,10.0,surviving,780.1311,7801.311,659.2632,8.45
After_Pod_C,CON_1,CON_1,CON,1727.341,12.5,surviving,1727.341,13818.7278,2724.7676,19.72
After_Pod_C,CON_2,CON_2,CON,1727.341,12.5,surviving,1727.341,13818.7278,0.0,0.0
After_Pod_C,CUP_1,CUP_1,CUP,1727.341,12.5,surviving,1727.341,13818.7278,1109.7842,8.03
After_Pod_C,LBR_1,LBR_1,LBR,1727.341,12.5,surviving,1727.341,13818.7278,1912.292,13.84
