candidate_a,candidate_b,votes_a_beats_b,votes_b_beats_a,margin,margin_pct,locked,lock_order,condorcet_winner
CON_1,CON_2,28833.70792505477,0.0,28833.71,100.0,True,1,STY_1
CON_1,LBR_1,13591.006517690752,15242.701407364015,1651.69,5.7283,True,9,STY_1
CON_1,LIB_1,17305.648894988968,11528.059030065802,5777.59,20.0376,True,4,STY_1
CON_1,STY_1,12838.824555735082,15994.883369319685,3156.06,10.9457,True,6,STY_1
CON_2,LBR_1,13591.006517690752,15242.701407364015,1651.69,5.7283,True,10,STY_1
CON_2,LIB_1,17305.648894988968,11528.059030065802,5777.59,20.0376,True,5,STY_1
CON_2,STY_1,12838.824555735082,15994.883369319685,3156.06,10.9457,True,7,STY_1
LBR_1,LIB_1,22722.32776955159,6111.380155503177,16610.95,57.6095,True,2,STY_1
LBR_1,STY_1,13340.163226561319,15493.544698493446,2153.38,7.4683,True,8,STY_1
LIB_1,STY_1,7486.108531494048,21347.59939356072,13861.49,48.0739,True,3,STY_1
