winnowing_point,eliminated_code,eliminated_name,dest_code,dest_name,transferred_votes,transfer_type
After_Retail,CON_1,CON_1,CON_2,CON_2,3648.41,surplus
After_Retail,LBR_1,LBR_1,LBR_2,LBR_2,1597.37,surplus
After_Retail,CON_2,CON_2,CON_3,CON_3,1430.44,surplus
After_Retail,NAT_1,NAT_1,NAT_2,NAT_2,1209.08,surplus
After_Retail,LIB_1,LIB_1,LIB_2,LIB_2,1054.2,surplus
After_Retail,POP_1,POP_1,POP_2,POP_2,143.11,surplus
After_Retail,STY_1,STY_1,STY_2,STY_2,0.79,surplus
After_Retail,STY_2,STY_2,LBR_2,LBR_2,0.35,elimination
After_Retail,STY_2,STY_2,POP_2,POP_2,0.31,elimination
After_Retail,STY_2,STY_2,CUP_1,CUP_1,0.06,elimination
After_Retail,STY_2,STY_2,DSA_1,DSA_1,0.04,elimination
After_Retail,STY_2,STY_2,CON_3,CON_3,0.03,elimination
After_Retail,STY_2,STY_2,OAO_1,OAO_1,0.0,elimination
After_Retail,STY_2,STY_2,LIB_2,LIB_2,0.0,elimination
After_Retail,POP_2,POP_2,CON_3,CON_3,30.86,elimination
After_Retail,POP_2,POP_2,CUP_1,CUP_1,30.43,elimination
After_Retail,POP_2,POP_2,NAT_2,NAT_2,8.76,elimination
After_Retail,POP_2,POP_2,LBR_2,LBR_2,0.54,elimination
After_Retail,POP_2,POP_2,DSA_1,DSA_1,0.0,elimination
After_Retail,LIB_2,LIB_2,LBR_2,LBR_2,668.19,elimination
After_Retail,LIB_2,LIB_2,CUP_1,CUP_1,172.53,elimination
After_Retail,LIB_2,LIB_2,PRG_1,PRG_1,99.08,elimination
After_Retail,LIB_2,LIB_2,DSA_1,DSA_1,75.93,elimination
After_Retail,LIB_2,LIB_2,OAO_1,OAO_1,38.09,elimination
After_Retail,CUP_1,CUP_1,CON_3,CON_3,31.65,surplus
After_Retail,CUP_1,CUP_1,LBR_2,LBR_2,18.82,surplus
After_Retail,CUP_1,CUP_1,OAO_1,OAO_1,8.6,surplus
After_Retail,CUP_1,CUP_1,NAT_2,NAT_2,0.04,surplus
After_Retail,LBR_2,LBR_2,DSA_1,DSA_1,12.27,surplus
After_Retail,LBR_2,LBR_2,PRG_1,PRG_1,3.8,surplus
After_Retail,LBR_2,LBR_2,OAO_1,OAO_1,1.67,surplus
After_Retail,LBR_2,LBR_2,CON_3,CON_3,1.43,surplus
After_Retail,PRG_1,PRG_1,DSA_1,DSA_1,8.02,surplus
After_Retail,NAT_2,NAT_2,CON_3,CON_3,839.09,elimination
After_Retail,CON_3,CON_3,OAO_1,OAO_1,9.31,surplus
After_Pod_A,CON_1,CON_1,CON_2,CON_2,2983.02,surplus
After_Pod_A,LBR_1,LBR_1,LBR_2,LBR_2,2235.2,surplus
After_Pod_A,NAT_1,NAT_1,CON_2,CON_2,377.32,surplus
After_Pod_A,NAT_1,NAT_1,POP_1,POP_1,164.13,surplus
After_Pod_A,NAT_1,NAT_1,CUP_1,CUP_1,2.25,surplus
After_Pod_A,CON_2,CON_2,CON_3,CON_3,476.97,surplus
After_Pod_A,LIB_1,LIB_1,LBR_2,LBR_2,283.19,surplus
After_Pod_A,LIB_1,LIB_1,CUP_1,CUP_1,73.0,surplus
After_Pod_A,LIB_1,LIB_1,PRG_1,PRG_1,51.06,surplus
After_Pod_A,LIB_1,LIB_1,OAO_1,OAO_1,16.14,surplus
After_Pod_A,LIB_1,LIB_1,STY_1,STY_1,0.28,surplus
After_Pod_A,CON_3,CON_3,POP_1,POP_1,230.05,elimination
After_Pod_A,CON_3,CON_3,CUP_1,CUP_1,157.25,elimination
After_Pod_A,CON_3,CON_3,STY_1,STY_1,46.46,elimination
After_Pod_A,CON_3,CON_3,OAO_1,OAO_1,27.52,elimination
