winnowing_point,candidate_code,candidate_name,party_code,vote_total,vote_pct,status,quota_threshold,accumulated_pool_size,first_choice_total,first_choice_pct
Initial_Slate,CON_1,CON_1,CON,8846.6605,19.39,surviving,0.0,45631.1423,,
Initial_Slate,SD_1,SD_1,SD,6992.5047,15.32,surviving,0.0,45631.1423,,
Initial_Slate,STY_1,STY_1,STY,6801.1397,14.9,surviving,0.0,45631.1423,,
Initial_Slate,CUP_1,CUP_1,CUP,4915.3917,10.77,surviving,0.0,45631.1423,,
Initial_Slate,POP_1,POP_1,POP,4762.5218,10.44,surviving,0.0,45631.1423,,
Initial_Slate,LIB_1,LIB_1,LIB,4512.5594,9.89,surviving,0.0,45631.1423,,
Initial_Slate,NAT_1,NAT_1,NAT,3976.5564,8.71,surviving,0.0,45631.1423,,
Initial_Slate,DSA_1,DSA_1,DSA,2630.4936,5.76,surviving,0.0,45631.1423,,
Initial_Slate,PRG_1,PRG_1,PRG,2193.3144,4.81,surviving,0.0,45631.1423,,
Initial_Slate,CON_2,CON_2,CON,0.0,0.0,surviving,0.0,45631.1423,,
Initial_Slate,CON_3,CON_3,CON,0.0,0.0,surviving,0.0,45631.1423,,
Initial_Slate,CUP_2,CUP_2,CUP,0.0,0.0,surviving,0.0,45631.1423,,
Initial_Slate,CUP_3,CUP_3,CUP,0.0,0.0,surviving,0.0,45631.1423,,
Initial_Slate,DSA_2,DSA_2,DSA,0.0,0.0,surviving,0.0,45631.1423,,
Initial_Slate,DSA_3,DSA_3,DSA,0.0,0.0,surviving,0.0,45631.1423,,
Initial_Slate,LIB_2,LIB_2,LIB,0.0,0.0,surviving,0.0,45631.1423,,
Initial_Slate,LIB_3,LIB_3,LIB,0.0,0.0,surviving,0.0,45631.1423,,
Initial_Slate,NAT_2,NAT_2,NAT,0.0,0.0,surviving,0.0,45631.1423,,
Initial_Slate,NAT_3,NAT_3,NAT,0.0,0.0,surviving,0.0,45631.1423,,
Initial_Slate,PRG_2,PRG_2,PRG,0.0,0.0,surviving,0.0,45631.1423,,
Initial_Slate,PRG_3,PRG_3,PRG,0.0,0.0,surviving,0.0,45631.1423,,
Initial_Slate,POP_2,POP_2,POP,0.0,0.0,surviving,0.0,45631.1423,,
Initial_Slate,POP_3,POP_3,POP,0.0,0.0,surviving,0.0,45631.1423,,
Initial_Slate,SD_2,SD_2,SD,0.0,0.0,surviving,0.0,45631.1423,,
Initial_Slate,SD_3,SD_3,SD,0.0,0.0,surviving,0.0,45631.1423,,
Initial_Slate,STY_2,STY_2,STY,0.0,0.0,surviving,0.0,45631.1423,,
Initial_Slate,STY_3,STY_3,STY,0.0,0.0,surviving,0.0,45631.1423,,
After_Retail,CON_1,CON_1,CON,3510.0879,7.69,surviving,3510.0879,45631.1423,8846.6605,19.39
After_Retail,CON_2,CON_2,CON,3510.0879,7.69,surviving,3510.0879,45631.1423,0.0,0.0
After_Retail,CON_3,CON_3,CON,0.0,0.0,eliminated_this_round,3510.0879,45631.1423,0.0,0.0
